material,P_W,v_mm_per_s,melt_width_um,melt_depth_um,LED_J_per_mm,norm_width,norm_depth,h_mm,t_mm,VED_J_per_mm3
IN718,300.0,800.0,126.0,310.0,0.375,0.3849279329370001,0.2528548123980424,0.11,0.04,85.22727272727273
IN718,300.0,900.0,152.0,320.0,0.3333333333333333,0.46435750640019063,0.26101141924959215,0.11,0.04,75.75757575757576
IN718,300.0,1000.0,128.0,217.0,0.3,0.3910379001264763,0.1769983686786297,0.11,0.04,68.18181818181817
IN718,300.0,1100.0,144.0,184.0,0.2727272727272727,0.43991763764228586,0.1500815660685155,0.11,0.04,61.98347107438017
IN718,300.0,400.0,198.0,505.0,0.75,0.6048867517581431,0.41190864600326266,0.11,0.04,170.45454545454547
IN718,300.0,500.0,154.0,526.0,0.6,0.47046747358966684,0.4290375203915171,0.11,0.04,136.36363636363635
IN718,300.0,600.0,150.0,365.0,0.5,0.4582475392107144,0.29771615008156604,0.11,0.04,113.63636363636363
IN718,300.0,700.0,176.0,307.0,0.42857142857142855,0.5376771126739049,0.25040783034257746,0.11,0.04,97.4025974025974
IN718,300.0,800.0,146.0,295.0,0.375,0.44602760483176207,0.2406199021207178,0.11,0.04,85.22727272727273
IN718,300.0,900.0,136.0,287.0,0.3333333333333333,0.4154777688843811,0.23409461663947798,0.11,0.04,75.75757575757576
IN718,300.0,1000.0,136.0,177.0,0.3,0.4154777688843811,0.14437194127243066,0.11,0.04,68.18181818181817
IN718,300.0,1100.0,134.0,136.0,0.2727272727272727,0.4093678016949049,0.11092985318107668,0.11,0.04,61.98347107438017
IN718,300.0,400.0,196.0,546.0,0.75,0.5987767845686669,0.4453507340946166,0.11,0.04,170.45454545454547
IN718,300.0,500.0,198.0,463.0,0.6,0.6048867517581431,0.37765089722675366,0.11,0.04,136.36363636363635
IN718,300.0,600.0,204.0,334.0,0.5,0.6232166533265716,0.2724306688417618,0.11,0.04,113.63636363636363
IN718,300.0,700.0,186.0,378.0,0.42857142857142855,0.5682269486212859,0.3083197389885807,0.11,0.04,97.4025974025974
IN718,300.0,800.0,146.0,333.0,0.375,0.44602760483176207,0.27161500815660683,0.11,0.04,85.22727272727273
IN718,300.0,900.0,146.0,279.0,0.3333333333333333,0.44602760483176207,0.2275693311582382,0.11,0.04,75.75757575757576
IN718,300.0,1000.0,140.0,195.0,0.3,0.42769770326333345,0.15905383360522024,0.11,0.04,68.18181818181817
IN718,300.0,1100.0,126.0,144.0,0.2727272727272727,0.3849279329370001,0.11745513866231648,0.11,0.04,61.98347107438017
IN718,300.0,400.0,186.0,551.0,0.75,0.5682269486212859,0.44942903752039154,0.11,0.04,170.45454545454547
IN718,300.0,500.0,208.0,520.0,0.6,0.635436587705524,0.42414355628058725,0.11,0.04,136.36363636363635
IN718,300.0,600.0,180.0,317.0,0.5,0.5498970470528574,0.25856443719412725,0.11,0.04,113.63636363636363
IN718,300.0,700.0,156.0,365.0,0.42857142857142855,0.476577440779143,0.29771615008156604,0.11,0.04,97.4025974025974
IN718,300.0,800.0,138.0,306.0,0.375,0.4215877360738573,0.2495921696574225,0.11,0.04,85.22727272727273
IN718,300.0,900.0,150.0,306.0,0.3333333333333333,0.4582475392107144,0.2495921696574225,0.11,0.04,75.75757575757576
IN718,300.0,1000.0,124.0,245.0,0.3,0.3788179657475239,0.199836867862969,0.11,0.04,68.18181818181817
IN718,300.0,1100.0,122.0,123.0,0.2727272727272727,0.37270799855804776,0.100326264274062,0.11,0.04,61.98347107438017
IN718,300.0,400.0,206.0,604.0,0.75,0.6293266205160478,0.4926590538336052,0.11,0.04,170.45454545454547
IN718,300.0,500.0,184.0,460.0,0.6,0.5621169814318097,0.37520391517128876,0.11,0.04,136.36363636363635
IN718,300.0,600.0,180.0,362.0,0.5,0.5498970470528574,0.29526916802610115,0.11,0.04,113.63636363636363
IN718,300.0,700.0,164.0,353.0,0.42857142857142855,0.5010173095370478,0.28792822185970635,0.11,0.04,97.4025974025974
IN718,300.0,800.0,166.0,246.0,0.375,0.507127276726524,0.200652528548124,0.11,0.04,85.22727272727273
IN718,300.0,900.0,148.0,326.0,0.3333333333333333,0.4521375720212382,0.265905383360522,0.11,0.04,75.75757575757576
